feature,real_mean,null_z_median,frac_|z|>2,spatial_specific,stability_r,zero_variance,verdict
kl_mean,0.38884922509420433,383.176499893618,1.0,0.9522730517260136,0.8688040110199247,False,STRONG (real + adds + stable)
kl_tumor,0.36410814171080685,1916.5042421633832,1.0,0.5070600870402907,0.999090160742333,False,STRONG (real + adds + stable)
self_enrich,1.5383980652022278,11.15006160831073,1.0,0.8418959525403931,0.8334058790292624,False,STRONG (real + adds + stable)
immune_tumor,-1.0869044570788347,-68.40033643167601,1.0,0.5599604590419064,0.9932485962226021,False,STRONG (real + adds + stable)
stroma_tumor,-1.103036681631109,-28.96373701005817,1.0,1.0,0.9197768296225343,False,STRONG (real + adds + stable)
