cluster_label,CD45,PanCK,Vimentin,aSMA,CD31,Podoplanin,CD3e,CD20,CD21,CD68
APC,0.6455948285897086,1.1140754384946234,0.9536862319283723,0.2698235408035272,0.2914557504042687,0.4739599111635951,0.30459470297815006,0.3426901126133321,0.36496046550206507,0.3357358110479266
B cell,1.3042367852128187,0.30916202397430753,1.149582459250213,0.33551238506008396,0.314017830600865,0.5355660531520265,0.889146695337384,2.043467442775716,1.0429122218955948,0.37887192185378804
CD4 T cell,1.4680928270576559,0.43089328287479833,1.314944884717319,0.3195994070456428,0.2930590807785724,0.5132651358576429,1.5374922894240972,0.5212451587766981,0.32166518828658636,0.3708930580050429
CD8 T cell,1.450780369604578,0.6817883910559127,1.3937754779040898,0.33823494544376526,0.3170906411801388,0.5116978503477017,1.2973553105656992,0.38694878947379113,0.33758247607476977,0.41631018045282153
Granulocyte,1.1510527141440594,0.8393695080668462,1.239008065553573,0.3265069724557722,0.31158659074318146,0.4908665785128405,0.39467657788226734,0.4600945319558529,0.34052705723070514,0.6110487218107518
Lymph vessel,1.2604320330257126,1.0629411675719254,1.108251954843549,1.1222913058953483,0.5275204501337134,1.2358389408451522,0.8545818741167702,0.5307559040215549,1.147337740816266,0.6783904109837428
Macrophage,1.0677909096091849,0.5846969205956527,1.6137346199397002,0.33427874307493066,0.3387578990659586,0.46733596818981565,0.4176320506011774,0.4045992553511393,0.3837664278787598,1.0452244885666753
Naive immune cell,0.8354008720708853,0.25341384073557804,1.416626493755995,0.3204724623233919,1.3583093273939306,0.3755505546066708,0.4699578676158111,0.446749054665977,0.34478513785880605,0.40635177676631334
Stromal / Fibroblast,0.4224267880791977,0.295071146860623,1.746122175726538,0.865931687648484,0.2745660246460293,0.4675597454699931,0.3451678086915701,0.2912445071916425,0.2487903197322995,0.32237274802652033
Tumor,0.2656323049614302,0.9485289309855397,0.294784853903391,0.24137821764726583,0.257845349888153,0.30035481603808484,0.25215635916242035,0.2796174334307682,0.30802124760294525,0.2461932097355142
Tumor (CD15+),0.3107186446925513,1.58920378644319,0.3237757561997269,0.24227750539618625,0.27065763134408644,0.2897795483033817,0.2496835675326394,0.3173161700474229,0.37637383695746,0.29869766026731914
Tumor (CD20+),0.3462451061756819,1.431359142236021,0.3481304565597795,0.23911202569753498,0.3108007193373842,0.44438844841214026,0.26375372791932516,1.0413923081075076,0.44838431438871396,0.2916410399654228
Tumor (CD21+),0.359944137068805,1.821215405270546,0.3592052335119383,0.2533358364729667,0.32733193640902963,0.38417487474282874,0.2728630654936279,0.32166136032517373,0.5529287123521232,0.2885997838589421
Tumor (Ki67+),0.3207207676397068,1.2489052748764409,0.37070592947774594,0.28305493170355334,0.27753988629225734,0.5995170654037627,0.27201583556037634,0.3444021003771183,0.4475646515129345,0.2594028685565239
Tumor (Podo+),0.34801087828971383,1.1230828779445279,0.5499579544041423,0.28614102946209213,0.31496174148527095,1.2763337831858808,0.28300320461168643,0.31896575961418994,0.38871121412055293,0.2811394042583896
Vessel,0.5171079308166032,0.29353729700997183,2.13308014409477,0.9046672370376803,1.8923366850694048,0.30668347271583973,0.4195005245195592,0.3510871744771061,0.2814778517455869,0.4112862771159323
