feature_set,c_index_rsf,c_index_std_rsf,c_index_cox,c_index_std_cox,n_samples,n_features
Baseline,0.4874606339689146,0.04805222075908173,0.5868238842091065,0.12254098166139021,308,2
PE,0.4408569585724207,0.10815586539342635,0.55971345417803,0.12448334741976394,308,16
Baseline + PE,0.4388889631175831,0.10444637662633562,0.5969730322501913,0.12809921456150744,308,18
