feature_set,c_index_rsf,c_index_std_rsf,c_index_cox,c_index_std_cox,n_samples,n_features
Baseline + PE,0.6108045847499838,0.07402532798317236,0.5969730322501913,0.12809921456150744,308,18
Baseline (manifest),0.5389417876235056,0.04515118083159153,0.5868238842091065,0.12254098166139021,308,2
PE,0.5908885507650955,0.05193128391461202,0.55971345417803,0.12448334741976394,308,16
